Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,1.187395,1.188778,1.183830,1.187507,1.187507,0
2021-09-08,1.184553,1.185400,1.180317,1.184357,1.184357,0
2021-09-09,1.182033,1.184133,1.180610,1.181910,1.181910,0
2021-09-10,1.182355,1.185300,1.181935,1.182592,1.182592,0
2021-09-13,1.181251,1.181754,1.177060,1.181195,1.181195,0
2021-09-14,1.181070,1.184699,1.180200,1.181195,1.181195,0
2021-09-15,1.180359,1.183300,1.180100,1.180498,1.180498,0
2021-09-16,1.181935,1.182313,1.175171,1.182000,1.182000,0
2021-09-17,1.176484,1.178967,1.172966,1.176747,1.176747,0
2021-09-20,1.172883,1.173709,1.170056,1.172993,1.172993,0
2021-09-21,1.172567,1.174895,1.171591,1.173020,1.173020,0
2021-09-22,1.172608,1.174453,1.171715,1.172292,1.172292,0
2021-09-23,1.168893,1.175101,1.168419,1.168770,1.168770,0
2021-09-24,1.174178,1.174812,1.170166,1.174026,1.174026,0
2021-09-27,1.172209,1.172800,1.168661,1.172305,1.172305,0
2021-09-28,1.169604,1.170600,1.166997,1.169680,1.169680,0
2021-09-29,1.168688,1.169200,1.161009,1.168634,1.168634,0
2021-09-30,1.160227,1.161170,1.157006,1.160160,1.160160,0
2021-10-01,1.157421,1.160900,1.156390,1.157448,1.157448,0
2021-10-04,1.160726,1.164009,1.158856,1.160726,1.160726,0
2021-10-05,1.161656,1.162250,1.158306,1.161845,1.161845,0
2021-10-06,1.159514,1.159958,1.153017,1.159608,1.159608,0
2021-10-07,1.155535,1.157140,1.154935,1.155535,1.155535,0
2021-10-08,1.155922,1.158373,1.154255,1.155976,1.155976,0
2021-10-11,1.156591,1.158749,1.155295,1.156604,1.156604,0
2021-10-12,1.155295,1.157006,1.153389,1.155375,1.155375,0
2021-10-13,1.153097,1.157901,1.153057,1.153403,1.153403,0
2021-10-14,1.159958,1.162500,1.158467,1.159958,1.159958,0
2021-10-15,1.159071,1.161980,1.158883,1.159152,1.159152,0
2021-10-18,1.159595,1.161211,1.157300,1.159703,1.159703,0
2021-10-19,1.161454,1.167000,1.161454,1.161386,1.161386,0
2021-10-20,1.163386,1.165401,1.161805,1.163196,1.163196,0
2021-10-21,1.165243,1.166997,1.163318,1.165501,1.165501,0
2021-10-22,1.162588,1.165406,1.162237,1.162534,1.162534,0
2021-10-25,1.164131,1.166861,1.159326,1.164009,1.164009,0
2021-10-26,1.161170,1.162900,1.158587,1.161170,1.161170,0
2021-10-27,1.159824,1.162439,1.158534,1.159824,1.159824,0
2021-10-28,1.159891,1.169317,1.158319,1.160012,1.160012,0
2021-10-29,1.168374,1.169180,1.154668,1.168361,1.168361,0
2021-11-01,1.155936,1.159326,1.154668,1.155668,1.155668,0
2021-11-02,1.160174,1.161500,1.157917,1.159958,1.159958,0
2021-11-03,1.158078,1.159900,1.156363,1.157943,1.157943,0
2021-11-04,1.161575,1.161710,1.152924,1.161575,1.161575,0
2021-11-05,1.155668,1.156470,1.151410,1.155535,1.155535,0
2021-11-08,1.156845,1.159555,1.155175,1.156885,1.156885,0
2021-11-09,1.158869,1.160901,1.157019,1.159152,1.159152,0
2021-11-10,1.159366,1.159824,1.151344,1.159555,1.159555,0
2021-11-11,1.148567,1.149161,1.145489,1.148594,1.148594,0
2021-11-12,1.144780,1.145987,1.143406,1.145082,1.145082,0
2021-11-15,1.144230,1.146421,1.141696,1.144165,1.144165,0
2021-11-16,1.136738,1.138701,1.133067,1.136648,1.136648,0
2021-11-17,1.131618,1.133400,1.127053,1.132118,1.132118,0
2021-11-18,1.131811,1.135976,1.131503,1.132118,1.132118,0
2021-11-19,1.137010,1.137010,1.125239,1.136842,1.136842,0
2021-11-22,1.127574,1.129050,1.123823,1.127574,1.127574,0
2021-11-23,1.124354,1.127345,1.122712,1.124215,1.124215,0
2021-11-24,1.124391,1.125454,1.118781,1.124493,1.124493,0
2021-11-25,1.120699,1.123091,1.120398,1.120298,1.120298,0
2021-11-26,1.120900,1.132200,1.120800,1.120963,1.120963,0
2021-11-29,1.129114,1.129801,1.125885,1.129318,1.129318,0
2021-11-30,1.129357,1.138174,1.124606,1.129344,1.129344,0
2021-12-01,1.133003,1.135847,1.130416,1.133029,1.133029,0
2021-12-02,1.131964,1.134816,1.130186,1.131952,1.131952,0
2021-12-03,1.130684,1.133183,1.126735,1.130621,1.130621,0
2021-12-06,1.130263,1.131000,1.126900,1.130480,1.130480,0
2021-12-07,1.128452,1.129943,1.123129,1.128668,1.128668,0
